lastgroup	link1	link2	link3	link4	link5	linkother	q01gndr	q02yrbrn	q03empsts	q06firmsize	q07indust	q08prof	q09wtime	q10currenttime	q11reason	q12office	q13support	q14partner	q20sat11	q20sat12	q20sat13	q20sat14	q20sat15	q20sat16	q20sat17	q20sat21	q20sat22	q20sat23	q20sat24	q20sat25	q20sat26	q20sat27	q21concern11	q21concern12	q21concern21	q21concern22	q23land	q24townsize	q25hhsize	q26flatsize	q27educ	q28migr	q34hhinc	surveyday	female	age	agegr	edu	ctr	selfempl	sysjob	homeoffice	homeoffice_det	parent	fam	nrchildren	youngestcat	childcare	wohnsit	hhinc
10	.c	1	.c	.c	.c			1984	1	.c	.c	1	2	2	.a	2	.c	0	4	.a	1	.a	3	.c	2	3	.a	3	.a	7	.c	2	2	6	3	7	3	2	1	1	4	1	3	1	1	36	4	3	1	0	0	1	1	0	1	0	.a		1	3
10	.c	1	.c	.c	.c		2	1977	1	3	10	1	4	2	.a	2	5	0	5	.a	1	.a	2	.c	3	6	.a	4	.a	5	.c	5	7	7	7	7	3	2	1	2	4	1	1	1	1	43	4	3	2	0	0	1	1	0	1	0	.a		2	1
10	1	.c	.c	.c	.c		1	1953	0	.a	.a	.a	.a	.a	.a	.a	.a	0	.a	.a	3	.a	6	7	5	.a	.a	7	.a	6	7	6	5	.a	7	.a	3	2	1	2	4	2	1	1	0	67	7	3	.a	.a	.a	.a	.a	0	1	0	.a		2	1
10	.c	.c	1	.c	.c		1	1961	0	.a	.a	.a	.a	.a	.a	.a	.a	0	.a	.a	4	.a	6	6	6	.a	.a	4	.a	6	5	6	5	.a	5	.a	7	2	1	3	1	1	2	1	0	59	6	1	.a	.a	.a	.a	.a	0	1	0	.a		3	2
10	1	.c	.c	.c	.c		2	1982	1	3	7	1	4	2	.a	2	5	1	4	5	6	4	5	5	6	4	5	6	4	5	5	5	7	7	7	7	3	2	4	4	4	1	1	1	1	38	4	3	1	0	0	1	1	1	3	2	2	2	3	1
10	.c	.c	1	.c	.c		2	1966	1	2	9	6	3	4	5	.a	7	1	4	6	4	4	4	4	5	6	6	6	4	5	4	6	6	6	6	6	15	1	3	9	3	1	1	1	1	54	5	2	1	0	1	.a	3	0	2	0	.a		3	1
10	.c	.c	1	.c	.c		2	1987	1	3	7	5	4	1	.a	2	6	1	2	7	6	7	6	6	5	2	7	6	7	7	5	6	6	7	7	7	5	2	4	5	4	1	.c	1	1	33	3	3	1	0	1	1	1	0	2	0	.a		3	.c
10	1	.c	.c	.c	.c		2	1961	1	2	9	8	3	4	0	.a	3	1	3	4	5	5	5	6	5	5	5	5	5	6	4	5	2	7	7	7	15	1	2	3	.c	1	1	1	1	59	6	.c	1	0	1	.a	3	0	2	0	.a		3	1
10	.c	.c	1	.c	.c		2	2003	.c	.a	.a	.a	.a	.a	.a	.a	.a	.c	.a	.a	5	.a	3	5	5	.a	.a	5	.a	6	5	5	7	.a	7	.a	7	.c	5	8	.c	1	1	1	1	17	1	.c	.a	.a	.a	.a	.a			.a			1	1
10	.c	.c	1	.c	.c		2	1983	0	.a	.a	.a	.a	.a	.a	.a	.a	1	.a	5	5	5	3	5	6	.a	6	6	5	6	5	6	7	.a	7	.a	10	2	4	4	4	1	1	1	1	37	4	3	.a	.a	.a	.a	.a	1	3	2	1	1	3	1
10	.c	.c	1	.c	.c		2	1990	1	3	7	1	4	2	.a	2	3	.c	4	.a	4	.a	5	4	5	5	.a	5	.a	7	4	6	2	5	3	4	3	2	2	3	4	2	1	1	1	30	3	3	2	0	0	1	1			.a			2	1
10	.c	.c	1	.c	.c		1	1982	1	3	7	1	4	3	.a	2	5	1	3	4	5	5	5	3	2	4	5	6	5	5	5	5	5	7	.c	4	10	2	4	4	4	1	1	1	0	38	4	3	2	0	0	1	1			.a			2	1
10	.c	1	.c	.c	.c		77	1987	1	3	10	1	4	2	.a	2	7	1	5	6	6	4	5	.c	5	6	5	3	4	4	.c	6	6	6	6	6	3	2	3	4	4	1	1	1	1	33	3	3	2	0	0	1	1	0	2	0	.a		3	1
10	1	.c	.c	.c	.c		1	1989	1	1	3	1	4	2	.a	2	6	1	4	6	5	3	3	2	2	3	4	4	3	4	4	4	1	2	3	6	3	2	3	2	4	3	3	1	0	31	3	3	1	0	0	1	1	1	3	1	1	1	1	3
10	1	.c	.c	.c	.c		1	1973	1	3	9	1	4	2	.a	1	7	1	7	7	7	7	6	5	6	7	7	7	7	7	5	7	6	7	7	7	3	2	4	2	4	1	1	1	0	47	5	3	5	0	0	0	0	1	3	2	1	2	1	1
10	.c	1	.c	.c	.c		2	1973	1	.c	5	1	4	2	.a	2	5	0	4	.a	4	.a	4	4	4	6	.a	6	.a	6	6	7	3	3	7	7	3	2	1	3	4	1	1	1	1	47	5	3	1	0	0	1	1	0	1	0	.a		3	1
10	1	.c	.c	.c	.c		2	1997	0	.a	.a	.a	.a	.a	.a	.a	.a	0	.a	.a	3	.a	5	.c	6	.a	.a	6	.a	6	.c	6	5	.a	5	.a	5	2	3	4	4	1	2	1	1	23	2	3	.a	.a	.a	.a	.a	0	1	0	.a		2	2
10	1	.c	.c	.c	.c		2	1986	1	3	7	7	4	3	.a	2	4	0	6	.a	4	.a	6	3	6	7	.a	6	.a	7	3	7	7	7	7	7	4	2	1	2	4	1	1	1	1	34	3	3	1	0	1	1	1	0	1	0	.a		2	1
10	1	.c	1	.c	.c		2	1986	1	2	9	8	3	2	.a	2	7	1	5	6	6	3	5	3	5	7	7	6	6	6	4	7	4	6	6	7	5	2	2	2	4	1	2	1	1	34	3	3	5	0	1	1	1	0	2	0	.a		2	2
10	.c	1	.c	.c	.c		2	1968	1	3	5	1	3	2	.a	2	7	0	3	.a	6	.a	4	6	5	5	.a	7	.a	6	6	7	4	4	6	7	3	2	4	4	4	1	2	1	1	52	5	3	1	0	0	1	1	1	4	2	4	1	1	2
10	1	.c	.c	.c	.c		1	1993	1	3	7	1	3	2	.a	2	7	0	5	.a	7	.a	3	6	6	5	.a	7	.a	6	5	6	6	6	6	6	3	2	3	3	4	1	1	1	0	27	3	3	2	0	0	1	1	0	1	0	.a		1	1
10	.c	.c	1	.c	.c		1	1999	0	.a	.a	.a	.a	.a	.a	.a	.a	0	.a	.a	6	.a	5	5	6	.a	.a	6	.a	7	6	6	5	.a	5	.a	7	1	5	8	1	1	1	1	0	21	2	1	.a	.a	.a	.a	.a	0	1	0	.a		1	1
5	1	.c	.c	.c	.c		1	1955	1	.a	10	1	4	2	.a	2	4	0	.b	.a	.b	.a	.b	.b	.b	.b	.a	.b	.a	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	1	0	65	6	.b	4	1	0	1	1	0	1	0	.a			.b
5	.c	1	.c	.c	.c		2	1969	1	2	7	1	4	1	.a	3	6	1	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	1	1	51	5	.b	1	0	0	1	2	0	2	0	.a			.b
10	.c	1	.c	.c	.c		2	1963	1	3	7	1	4	2	.a	2	5	0	6	.a	6	.a	4	2	4	6	.a	5	.a	5	2	5	5	5	7	7	3	2	2	3	4	2	1	1	1	57	6	3	5	0	0	1	1	0	1	0	.a		2	1
10	.c	.c	1	.c	.c		1	1985	1	3	8	7	4	1	.a	1	2	1	4	7	7	6	5	5	6	4	7	7	6	5	5	6	7	7	7	7	5	2	4	6	4	1	1	1	0	35	3	3	5	0	1	0	0	0	2	0	.a		3	1
10	1	.c	.c	.c	.c		1	1962	1	3	10	2	4	3	.a	1	7	1	7	7	7	7	6	5	7	7	7	7	6	6	5	7	7	7	7	7	9	2	4	11	3	1	2	1	0	58	6	2	5	0	1	0	0	1	3	1	4	4	3	2
10	.c	1	.c	.c	.c		2	1981	1	3	8	1	3	2	.a	2	7	0	7	.a	6	.a	6	7	7	7	.a	6	.a	6	7	7	7	7	7	7	4	1	3	4	3	1	1	1	1	39	4	2	1	0	0	1	1	1	4	2	4	4	2	1
10	1	.c	.c	.c	.c		2	1982	1	2	9	6	1	2	.a	2	6	1	6	5	5	3	5	6	4	7	5	5	2	7	6	6	5	6	7	7	3	2	4	3	4	1	1	1	1	38	4	3	1	0	1	1	1	1	3	2	1	1	2	1
10	.c	1	.c	.c	.c		1	1941	.d	.a	.a	.a	.a	.a	.a	.a	.a	1	.a	5	5	5	3	7	5	.a	5	5	5	5	6	6	6	.a	.c	.a	3	2	2	4	4	1	2	1	0	79	8	3	.a	.a	.a	.a	.a	0	2	0	.a		3	2
10	.c	.c	1	.c	.c		2	1986	0	.a	.a	.a	.a	.a	.a	.a	.a	1	.a	6	5	4	3	5	5	.a	6	6	3	6	5	6	6	.a	6	.a	10	2	4	4	4	1	1	1	1	34	3	3	.a	.a	.a	.a	.a	1	3	2	1	1	3	1
8	.c	.c	.c	.c	.c		.c	.d	.d	.a	.a	.a	.a	.a	.a	.a	.a	.c	.a	.a	.c	.a	.c	.c	.c	.a	.a	.c	.a	.c	.c	.c	.c	.a	.c	.a	.c	.c	.c	.c	.c	.c	.b	1				.c	.a	.a	.a	.a	.a			.a				.b
10	.c	1	.c	.c	.c		2	1964	1	.a	8	1	4	2	.a	2	7	1	7	5	7	5	6	6	6	7	5	7	5	6	6	6	7	7	7	7	4	2	4	4	4	1	1	1	1	56	6	3	.c	.c	0	1	1	1	3	1	4	1	2	1
8	1	.c	.c	.c	.c		2	1965	1	2	8	1	4	1	.a	1	7	1	7	.c	.c	.c	.c	.c	.c	.c	.c	.c	.c	.c	.c	.c	7	.c	7	.c	3	2	2	3	4	1	.b	1	1	55	5	3	1	0	0	0	0	0	2	0	.a		3	.b
10	.c	1	.c	.c	.c		1	1994	1	1	7	1	1	1	.a	2	6	0	6	.a	5	.a	7	4	5	6	.a	5	.a	6	4	5	5	7	5	7	4	2	2	3	4	1	2	1	0	26	3	3	2	0	0	1	1	0	1	0	.a		2	2
10	.c	.c	1	.c	.c		2	1976	.c	.a	.a	.a	.a	.a	.a	.a	.a	1	.a	6	6	5	2	7	5	.a	5	5	5	5	6	5	7	.a	7	.a	15	1	3	4	4	1	2	1	1	44	4	3	.a	.a	.a	.a	.a	1	3	1	3	2	3	2
10	.c	1	.c	.c	.c		1	1993	1	3	7	7	2	2	.a	2	6	0	6	.a	5	.a	4	1	6	4	.a	5	.a	7	1	6	4	7	4	7	3	2	3	3	4	2	3	1	0	27	3	3	2	0	1	1	1	0	1	0	.a		1	3
6	.c	.c	1	.c	.c		2	.d	.d	.a	.a	.a	.a	.a	.a	.a	.a	1	.a	6	7	7	6	7	6	.a	6	6	7	7	5	6	5	.a	5	.a	.b	.b	.b	.b	.b	.b	.b	1	1			.b	.a	.a	.a	.a	.a	1	3	1		2		.b
10	.c	.c	1	.c	.c		2	1987	1	3	9	1	4	2	.a	2	7	1	4	6	5	7	3	5	5	6	6	6	7	5	5	5	3	5	6	7	8	2	3	2	4	1	1	1	1	33	3	3	1	0	0	1	1	1	3	1	1	2	1	1
10	.c	1	.c	.c	.c		2	1988	1	3	8	1	4	1	.a	2	5	1	5	6	4	5	4	4	5	7	6	6	5	6	5	6	3	7	6	7	3	2	2	3	4	1	2	1	1	32	3	3	1	0	0	1	1	0	2	0	.a		3	2
10	.c	.c	1	.c	.c		1	1984	0	.a	.a	.a	.a	.a	.a	.a	.a	1	.a	7	7	7	7	1	7	.a	7	7	7	7	1	7	7	.a	7	.a	9	2	2	2	0	3	1	1	0	36	4	0	.a	.a	.a	.a	.a	0	2	0	.a		2	1
10	.c	1	.c	.c	.c		2	1970	1	3	5	9	3	1	.a	2	5	1	5	5	5	5	4	5	5	5	6	6	5	5	4	6	3	4	6	6	3	2	3	4	4	1	1	1	1	50	5	3	1	0	1	1	1	1	3	1	4	1	3	1
10	.c	.c	1	.c	.c		2	1988	1	3	8	1	4	1	.a	2	7	1	6	7	7	7	7	.c	6	7	7	7	7	7	.c	7	7	5	7	7	1	2	2	1	4	1	1	1	1	32	3	3	2	0	0	1	1	0	2	0	.a		1	1
10	1	.c	1	.c	.c		2	1990	1	2	4	1	4	1	.a	2	7	0	6	.a	5	.a	6	4	5	6	.a	6	.a	6	4	5	7	7	7	7	3	2	4	4	4	1	1	1	1	30	3	3	2	0	0	1	1	0	1	0	.a		1	1
10	.c	.c	1	.c	.c		2	1992	1	3	9	8	4	2	.a	2	6	1	5	6	6	6	6	6	6	4	6	6	4	5	4	5	7	7	7	7	3	2	2	3	4	1	1	1	1	28	3	3	1	0	1	1	1	0	2	0	.a		3	1
10	.c	.c	1	.c	.c		2	1987	1	1	8	1	4	1	.a	2	7	1	6	6	3	7	5	6	6	6	6	6	7	5	4	5	7	7	7	7	9	2	2	3	4	1	1	1	1	33	3	3	2	0	0	1	1	0	2	0	.a		3	1
9	.c	.c	1	.c	.c		1	1957	1	.a	3	1	4	1	.a	2	.c	1	7	7	7	7	7	6	7	7	7	7	7	3	7	7	7	7	7	7	7	2	2	4	4	1	1	1	0	63	6	3	4	1	0	1	1	0	2	0	.a		3	1
10	1	.c	1	.c	.c		2	1989	1	3	4	1	4	1	.a	2	7	1	6	6	5	5	5	6	6	6	6	6	6	7	6	7	7	7	7	7	7	2	2	3	4	1	1	1	1	31	3	3	1	0	0	1	1	0	2	0	.a		3	1
10	.c	.c	1	.c	.c		1	1985	1	2	4	1	4	1	.a	2	5	1	3	6	5	.c	5	4	4	6	6	6	4	4	3	6	5	2	4	7	3	2	3	3	4	1	1	1	0	35	3	3	1	0	0	1	1	1	3	1	2	4	2	1
10	.c	.c	1	.c	.c		1	1959	1	1	10	1	4	1	.a	2	7	1	4	7	7	7	7	7	4	7	7	7	7	7	7	7	4	4	7	7	6	2	3	4	3	1	1	1	0	61	6	2	1	0	0	1	1	0	2	0	.a		3	1
10	.c	.c	1	.c	.c		1	1982	1	2	10	1	2	1	.a	1	6	0	5	.a	3	.a	6	5	5	5	.a	3	.a	5	5	5	5	7	5	7	5	2	1	2	3	1	3	1	0	38	4	2	1	0	0	0	0	0	1	0	.a		2	3
10	1	.c	.c	.c	.c		2	1979	1	1	6	1	3	1	.a	2	7	0	5	.a	6	.a	6	.c	6	5	.a	6	.a	6	.c	6	6	6	6	6	3	2	2	3	4	1	2	1	1	41	4	3	1	0	0	1	1	0	1	0	.a		2	2
10	1	.c	.c	.c	.c		2	1977	1	3	9	8	2	2	.a	2	7	1	4	4	5	5	1	6	5	5	7	5	6	7	5	7	2	7	7	.c	15	1	4	11	4	1	1	1	1	43	4	3	2	0	1	1	1	1	3	2	3	1	3	1
10	1	.c	.c	.c	.c		2	1972	1	1	7	1	4	1	.a	1	6	1	6	7	6	5	5	3	5	6	7	6	6	6	4	6	7	7	7	7	10	2	4	4	4	1	1	1	1	48	5	3	1	0	0	0	0	1	3	2	3	3	2	1
10	.c	1	.c	.c	.c		2	1976	0	.a	.a	.a	.a	.a	.a	.a	.a	1	.a	6	5	5	3	7	5	.a	4	3	5	5	6	4	6	.a	7	.a	3	2	3	4	4	1	1	1	1	44	4	3	.a	.a	.a	.a	.a	1	3	1	1	1	3	1
10	.c	.c	1	.c	.c		1	1980	1	3	5	1	4	2	.a	2	6	1	4	4	5	6	6	5	1	7	6	6	6	6	4	6	7	7	7	7	10	2	4	6	4	1	1	1	0	40	4	3	1	0	0	1	1	1	3	2	1	1	3	1
10	.c	.c	1	.c	.c		2	1987	0	.a	.a	.a	.a	.a	.a	.a	.a	1	.a	7	6	5	5	2	5	.a	7	6	5	7	5	6	7	.a	7	.a	7	1	4	9	4	1	1	1	1	33	3	3	.a	.a	.a	.a	.a	1	3	2	1	1	3	1
10	.c	.c	1	.c	.c		2	1985	1	3	9	8	3	2	.a	2	6	1	3	6	2	5	2	4	3	7	7	7	6	7	6	7	7	7	7	7	10	2	3	5	4	1	1	1	1	35	3	3	5	0	1	1	1	1	3	1	2	1	3	1
10	.c	.c	1	.c	.c		1	1988	1	.a	1	9	4	3	.a	1	7	1	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	9	1	8	.d	3	1	1	1	0	32	3	2	4	1	1	0	0	0	2	0	.a			1
10	1	.c	.c	.c	.c		2	1986	1	3	7	1	4	1	.a	2	7	1	6	7	7	7	6	.c	7	5	7	7	7	7	.c	7	7	7	7	7	9	2	2	2	4	1	1	1	1	34	3	3	2	0	0	1	1	0	2	0	.a		2	1
10	.c	.c	.c	1	.c		1	1982	1	3	9	1	3	2	.a	2	6	0	5	.a	4	.a	6	.c	4	5	.a	4	.a	5	.c	4	5	6	5	6	3	2	1	2	4	1	1	1	0	38	4	3	2	0	0	1	1	0	1	0	.a		2	1
10	.c	.c	.c	1	.c		2	1988	1	2	9	8	4	2	.a	2	6	0	5	.a	2	.a	3	5	2	6	.a	6	.a	7	5	5	7	7	7	7	8	2	1	2	4	1	1	1	1	32	3	3	5	0	1	1	1	0	1	0	.a		2	1
10	.c	1	.c	.c	.c		2	1995	1	3	7	1	1	1	.a	2	7	0	6	.a	2	.a	2	2	3	6	.a	2	.a	7	3	6	6	7	7	7	4	2	1	2	4	1	2	1	1	25	2	3	2	0	0	1	1	0	1	0	.a		2	2
10	.c	1	.c	.c	.c		2	1980	1	3	7	1	3	2	.a	2	6	1	1	1	1	1	3	4	2	6	2	2	2	2	4	4	2	2	6	6	8	1	5	4	4	1	2	1	1	40	4	3	2	0	0	1	1	1	3	3	1	1	2	2
10	1	.c	.c	.c	.c		2	1991	0	.a	.a	.a	.a	.a	.a	.a	.a	1	.a	7	6	6	5	6	6	.a	7	7	6	7	6	7	2	.a	6	.a	3	2	4	3	4	1	1	1	1	29	3	3	.a	.a	.a	.a	.a	1	3	2	1	1	2	1
10	.c	1	.c	.c	.c		2	1991	1	3	7	1	3	2	.a	2	5	0	4	.a	4	.a	5	4	5	6	.a	5	.a	7	4	6	7	7	7	7	3	2	1	1	4	3	2	1	1	29	3	3	2	0	0	1	1	0	1	0	.a		1	2
5	.c	1	.c	.c	.c		1	1984	1	2	7	1	3	1	.a	2	6	1	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	.b	1	0	36	4	.b	2	0	0	1	1	0	2	0	.a			.b
10	.c	.c	1	.c	.c		1	1974	0	.a	.a	.a	.a	.a	.a	.a	.a	0	.a	.a	6	.a	4	4	6	.a	.a	6	.a	6	4	6	6	.a	7	.a	.c	1	3	3	3	.c	1	1	0	46	5	2	.a	.a	.a	.a	.a	1	4	1	4	4	1	1
10	1	.c	.c	.c	.c		1	1965	1	.a	10	1	4	4	4	.a	1	0	1	.a	5	.a	4	7	4	2	.a	6	.a	6	6	5	1	4	7	7	3	2	1	2	4	1	4	1	0	55	5	3	3	1	0	.a	3	0	1	0	.a		2	3
10	1	.c	.c	.c	.c		2	1991	1	.c	9	8	3	2	.a	2	5	0	6	.a	4	.a	4	5	6	2	.a	6	.a	6	5	5	7	7	7	7	10	2	1	1	4	1	1	1	1	29	3	3	2	0	1	1	1	0	1	0	.a		1	1
10	.c	1	.c	.c	.c		2	1972	1	2	3	1	2	1	.a	2	7	1	6	5	5	5	4	5	6	7	6	6	5	6	6	6	6	6	7	7	3	2	6	7	4	1	1	1	1	48	5	3	2	0	0	1	1	1	3	3	2	2	2	1
9	.c	.c	.c	1	.c		2	1978	1	.a	5	1	3	2	.a	3	.c	0	3	.a	.c	.a	4	5	5	6	.a	.c	.a	5	5	6	4	.c	5	.c	3	2	1	2	4	3	2	1	1	42	4	3	3	1	0	1	2	0	1	0	.a		2	2
10	.c	1	.c	.c	.c		2	1948	.d	.a	.a	.a	.a	.a	.a	.a	.a	0	.a	.a	6	.a	6	7	7	.a	.a	6	.a	6	7	7	4	.a	7	.a	3	2	1	2	4	1	1	1	1	72	7	3	.a	.a	.a	.a	.a	0	1	0	.a		2	1
10	.c	.c	1	.c	.c		2	1983	0	.a	.a	.a	.a	.a	.a	.a	.a	1	.a	7	6	7	5	6	6	.a	7	6	7	7	6	6	5	.a	7	.a	3	2	4	3	4	3	1	1	1	37	4	3	.a	.a	.a	.a	.a	1	3	2	1	2	2	1
9	.c	.c	1	.c	.c		2	1989	0	.a	.a	.a	.a	.a	.a	.a	.a	1	.a	6	6	6	5	5	6	.a	6	6	6	5	5	6	3	.a	7	.a	11	1	3	5	3	1	1	1	1	31	3	2	.a	.a	.a	.a	.a	1	3	1	1	1	3	1
10	.c	1	.c	.c	.c		1	1995	1	3	7	1	1	1	.a	2	6	0	4	.a	4	.a	4	4	5	4	.a	4	.a	4	4	5	7	7	7	7	3	2	4	4	4	2	2	1	0	25	2	3	2	0	0	1	1	0	1	0	.a		1	2
10	1	.c	.c	.c	.c		1	1984	1	3	4	1	4	1	.a	2	5	1	6	6	7	6	4	6	6	6	6	7	6	4	6	6	7	7	7	7	10	2	3	3	4	1	1	1	0	36	4	3	1	0	0	1	1	1	3	1	1	2	2	1
10	.c	1	.c	.c	.c		2	1970	1	3	7	1	4	1	.a	2	7	0	5	.a	7	.a	7	6	6	5	.a	7	.a	7	6	6	5	7	5	7	3	2	3	3	3	1	2	1	1	50	5	2	1	0	0	1	1	1	4	1	4	1	1	2
10	.c	1	.c	.c	.c		2	1993	1	3	7	1	2	1	.a	2	7	1	5	7	4	6	5	3	6	5	7	4	6	6	3	6	5	6	5	6	3	2	2	2	4	3	2	1	1	27	3	3	2	0	0	1	1	0	2	0	.a		2	2
